batch_size,dropout_rate,learning_rate,weight_decay,accuracy,precision,recall,f1,best_epoch
8,0.2,0.01,0.0001,0.625,0.6571428571428571,0.5942760942760943,0.5995767195767195,16
8,0.5,0.0001,0.0001,0.6666666666666666,0.8596491228070176,0.5648148148148148,0.582905982905983,21
8,0.5,0.01,0.0001,0.625,0.73989898989899,0.5547138047138047,0.5676767676767677,12
8,0.5,0.001,0.001,0.5,0.5185185185185185,0.5496632996632996,0.4982905982905983,10
8,0.2,0.01,1e-05,0.6666666666666666,0.44755244755244755,0.5387205387205387,0.48484848484848486,5
8,0.5,0.001,1e-05,0.5,0.6023391812865496,0.4301346801346802,0.41645021645021646,7
8,0.2,0.001,1e-05,0.3333333333333333,0.5450980392156862,0.468013468013468,0.3315295815295815,9
8,0.2,0.01,0.001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,2
8,0.2,0.001,0.001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.2,0.001,0.0001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.2,0.0001,0.001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.2,0.0001,0.0001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.2,0.0001,1e-05,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.5,0.01,0.001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.5,0.01,1e-05,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.5,0.001,0.0001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.5,0.0001,0.001,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
8,0.5,0.0001,1e-05,0.4583333333333333,0.15277777777777776,0.3333333333333333,0.20952380952380953,1
16,0.2,0.01,0.001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.01,0.0001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.01,1e-05,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.001,0.001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.001,0.0001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.001,1e-05,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.0001,0.001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.0001,0.0001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.2,0.0001,1e-05,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.01,0.001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.01,0.0001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.01,1e-05,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.001,0.001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.001,0.0001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.001,1e-05,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.0001,0.001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.0001,0.0001,0.375,0.125,0.3333333333333333,0.1818181818181818,1
16,0.5,0.0001,1e-05,0.375,0.125,0.3333333333333333,0.1818181818181818,1
